"stable_id","name_en","name_zh","institution_family","institution","recorded_billet","reported_military_rank","appointment_record","current_title_source","title_freshness","primary_mapped_claims","birth_record","open_gap_count","last_corroborated","source_count","linked_gap_ids"
"PLA-EFCC78E6E08B","Cui Yuzhong","崔玉忠","PLA Navy / Marines","PLA Navy / Marines","PLAN deputy commander","Vice Admiral","formal_current","official_mapped","observed_2025","3","not_public","0","2025-10-23","4",""
"PLA-1995B0F6E070","Dai Mingmeng","戴明盟","PLA Navy / Marines","Southern Theater Navy","VADM in an undisclosed new billet; previously Southern Theater Navy deputy/aviation commander","Vice Admiral","official_title_with_scope_caveat","not_mapped","not_established","0","recorded","0","unknown","3",""
"PLA-101D2479A53D","Dong Jun","董军","Institution unresolved","institution unresolved","Minister of National Defense","Admiral","formal_current","official_mapped","observed_2026","1","recorded","0","2026-08-21","3",""
"PLA-1FECA6DACC01","Dong Li","董立","CMC / central joint","CMC / central joint","CMC Joint Operations Command Center deputy; possible senior active deputy","lieutenant general","inferred_current","not_mapped","pre_2025","0","recorded","0","assessed since 2022-09; roster accessed 2026-08-31","4",""
"PLA-21A4F018A689","Duan Yingmin","段应民","PLA Army / military district","Central Theater Army","Last officially confirmed as Central Theater Army commander in March 2025; continued incumbency in 2026 is unverified and some mutable rosters label him former.","Lieutenant general","inferred_current","not_mapped","observed_2025","3","recorded","0","2025-03-18","4",""
"PLA-27C19C4F0939","Fang Ming","方明","PLA Army / military district","PLA Army","73rd Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-557579BCD9C3","Fu Dalin","傅达林","Institution unresolved","institution unresolved","Professor at NDU Political College, Xi'an campus, confirmed July 2025","rank and administrative grade not publicly stated","legacy_unverified","not_mapped","not_established","0","recorded","0","unknown","1",""
"PLA-3BACEFB23DD5","Fu Wenhua","付文化","People's Armed Police","People's Armed Police","Reported PLA Army deputy commander since October 2025 after a brief PAP deputy-command role; no formal appointment announcement located.","Lieutenant general (reported)","inferred_current","not_mapped","observed_2026","1","recorded","0","2026-02-04 attributable current-role report","5",""
"PLA-0126A32C400C","Fu Xianxue","付先学","PLA Army / military district","PLA Army","Reported 82nd Group Army commander; January 2025 local coverage confirmed him as a senior 31677-unit leader but did not print commander title.","Major general (reported)","inferred_current","not_mapped","observed_2025","2","recorded","0","2025-01-24 unit-leader appearance","6",""
"PLA-C05526A74AAA","Gai Limin","盖立民","PLA Army / military district","PLA Army","75th Group Army commander","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-D189194FAA85","Gu Zhong","顾中","Joint theater command","Eastern Theater Command","Reported 72nd Group Army commander; no 2025-2026 primary titled appearance located.","Major general","inferred_current","not_mapped","pre_2025","1","recorded","0","2022-08-03 official Eastern Theater deputy-COS title; later role mutable-roster only","7",""
"PLA-5C33C18539CB","Han Bing","韩冰","PLA Army / military district","PLA Army","71st Group Army commander","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-E0992169C8FF","Han Shengyan","韩胜延","Joint theater command","Central Theater Command","Central Theater commander","general","formal_current","official_mapped","observed_2025","3","recorded","0","2025-12-22","6",""
"PLA-FE5D307ACF67","Han Xiaodong","韩晓东","Aerospace / cyberspace / information","Cyberspace Force","assessed Cyberspace Force political commissar","lieutenant general","inferred_current","not_mapped","pre_2025","1","recorded","0","assessed since 2024-04; roster accessed 2026-08-31","5",""
"PLA-717FD80C1D58","Hao Jingwen","郝井文","PLA Air Force","PLA Air Force","unknown","major general reported historically","stale_or_unknown","not_mapped","pre_2025","2","recorded","0","2022-01-25","3",""
"PLA-8F617F4716E0","Hao Weizhong","郝卫中","Aerospace / cyberspace / information","Aerospace Force","inaugural/assessed Aerospace Force commander","lieutenant general","conflicting_current","not_mapped","pre_2025","0","recorded","0","assessed since 2024-04; roster accessed 2026-08-31","2",""
"PLA-277EF6200E1F","Hao Xingchen","郝兴晨","PLA Army / military district","PLA Army","80th Group Army commander","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-52A639E3B03C","He Yuanzhi","何元智","Aerospace / cyberspace / information","Information Support Force","ISF institute researcher/chief expert; CAS academician","unknown","inferred_current","not_mapped","observed_2025","2","recorded","0","2025-2026","4",""
"PLA-BCCA1B1E75AF","He Yuehua","贺跃华","PLA Navy / Marines","PLA Navy / Marines","Last publicly reported as Marine Corps Political Work Department director","Rear Admiral","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-3CC5E7908CB4","Hu Yuhai","胡瑜海","PLA Navy / Marines","PLA Navy / Marines","PLAN PWD director/deputy PC and apparent senior political lead","Vice Admiral","official_title_with_scope_caveat","not_mapped","not_established","0","not_public","0","unknown","4",""
"PLA-0060CCF3E33B","Huang Chaohui","黄朝辉","PLA Army / military district","PLA Army","71st Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-376509CB4FF4","Huang Ming","黄铭","Joint theater command","Northern Theater Command","Commander, Northern Theater Command","","official_title_with_scope_caveat","official_mapped","observed_2025","1","not_public","0","2025-01-25","1",""
"PLA-0B594CAC6360","Huang Xucong","黄旭聪","Joint theater command","Central Theater Command","Last text-confirmed as Central Theater deputy commander and chief of staff in August 2024; active status after that is unverified.","Lieutenant general","stale_or_unknown","not_mapped","pre_2025","3","recorded","0","2024-08-08","4",""
"PLA-499607B891BC","Ji Duo","纪多","PLA Air Force","PLA Air Force","Deputy political commissar, PLA Air Force","","official_title_with_scope_caveat","official_mapped","observed_2025","1","not_public","0","2025-09-19","1",""
"PLA-46E2FDCB5DF6","Jiang Bin","蒋斌","CMC / central joint","CMC / central joint","MND Information Bureau deputy director and spokesman, confirmed 2025-2026","Senior colonel","legacy_unverified","not_mapped","not_established","0","recorded","0","unknown","1",""
"PLA-39C6BE655AAA","Jiang Jiaji","蒋佳冀","PLA Air Force","PLA Air Force","unknown","senior-colonel/major-general status not refreshed","stale_or_unknown","not_mapped","pre_2025","1","recorded","1","2022-10-27","3","G10"
"PLA-96F1DAAB6BA9","Jiang Meng","蒋猛","Military education / research","Cyberspace Force Information Engineering University","President, Cyberspace Force Information Engineering University","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-05-27","1",""
"PLA-7C0FF2F452F9","Jing Jianfeng","景建峰","CMC / central joint","CMC / central joint","CMC Joint Staff Department deputy chief; continuity not cleanly refreshed after June 2025","lieutenant general","formal_current","official_mapped","observed_2025","3","recorded","0","2025-06-11 event; 2025-09-03 publication","4",""
"PLA-2E4E3545C703","Kuang Ming","邝铭","PLA Army / military district","PLA Army","77th Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-B526BB58D0B3","Lei Kai","雷凯","PLA Rocket Force","PLA Rocket Force","Reported PLARF deputy commander and chief of staff; appears to handle military work. No official commander appointment located.","Lieutenant General","acting_role_mixture","mapped_nonprimary","not_established","2","recorded","3","unknown","8","G03|G07|G15"
"PLA-70EC7D874314","Lei Yongjun","雷永军","Military education / research","National University of Defense Technology","President, National University of Defense Technology","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-08-30","1",""
"PLA-B022A3C3E1FE","Li Dongyou","李东友","Joint theater command","Northern Theater Command","Northern Theater deputy PC/PWD director and apparent acting political lead","Vice Admiral","acting_role_mixture","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-65BFA55FDC8F","Li Huowei","李火伟","Military education / research","Information Support Force Engineering University Communications NCO School","President, Information Support Force Engineering University Communications NCO School","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-07-20","1",""
"PLA-6976B3023495","Li Jiancheng","李建成","Aerospace / cyberspace / information","Aerospace Force","Reported officer handling Aerospace Force military work","Major General (reported)","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-945D0FA949BF","Li Jinwei","李金伟","Institution unresolved","institution unresolved","last identified as Type 055 destroyer Yanan captain","Senior Captain","stale_or_unknown","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-2DE79A357BC0","Li Li","李立","Military education / research","Air Force Aviation University","President, Air Force Aviation University","Major general","official_title_with_scope_caveat","official_mapped","observed_2026","2","not_public","0","2026-01-19","1",""
"PLA-817969772F69","Li Weiguo","李卫国","PLA Army / military district","PLA Army","72nd Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-DD80CA09CB95","Li Yongxi","李勇熙","Military education / research","Air Force Engineering University","President, Air Force Engineering University","Major general","official_title_with_scope_caveat","official_mapped","observed_2026","2","not_public","0","2026-07-09","1",""
"PLA-14958C283AD5","Liang Ping","梁平","PLA Army / military district","PLA Army","theater Political Work Department director","lieutenant general; deputy-theater grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-0F131060085B","Liu Dejun","刘德军","People's Armed Police","China Coast Guard","China Coast Guard spokesperson","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-03-26","1",""
"PLA-97E7C14E3D3C","Liu Di","刘镝","CMC / central joint","CMC / central joint","assessed director, CMC Training Management Department","lieutenant general","inferred_current","not_mapped","observed_2025","0","not_public","0","assessed since 2025-09; roster accessed 2026-08-31","4",""
"PLA-01224D4FB1E1","Liu Houjie","刘厚杰","People's Armed Police","China Coast Guard","Political commissar, China Coast Guard","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-04-10","1",""
"PLA-D3859037869B","Liu Rongfu","刘荣富","PLA Navy / Marines","PLA Navy / Marines","Former Submarine Academy commandant; current role unknown","Rear Admiral","stale_or_unknown","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-0796FAA899E7","Liu Rui","刘锐","PLA Air Force","PLA Air Force","unknown","senior-colonel/major-general status unknown","stale_or_unknown","not_mapped","pre_2025","1","recorded","0","2021-01-18; later profiles refer historically","3",""
"PLA-BBC362FCD1CC","Liu Shuwei","刘树伟","Joint theater command","Eastern Theater Command","assessed Eastern Theater deputy commander","lieutenant general","inferred_current","not_mapped","observed_2025","0","not_public","0","assessed since 2025-03","2",""
"PLA-95942D3CF61A","Liu Wenqi","刘文起","Joint theater command","Northern Theater Command","Northern Theater Command deputy commander and theater Air Force commander","Lieutenant General","legacy_unverified","official_mapped","not_established","1","recorded","0","unknown","2",""
"PLA-3CFE356771E3","Liu Zhe","刘喆","CMC / central joint","CMC / central joint","apparent CMC Joint Operations Command Center deputy director with VADM insignia","Vice Admiral","inferred_current","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-9B6F1B05017B","Luo Zhengxue","罗正学","Military education / research","Air Force Medical University","President, Air Force Medical University","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-06-22","1",""
"PLA-8A245F186FFD","Ma Baochuan","马宝川","PLA Army / military district","PLA Army","81st Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-A22EBD37845D","Ma Lixin","马立新","PLA Navy / Marines","PLA Navy / Marines","PLAN deputy commander and late-2025 NPSC member","Vice Admiral","formal_current","official_mapped","pre_2025","4","recorded","0","2024-11-20","6",""
"PLA-55BFF067A2AA","Man Guangzhi","满广志","PLA Army / military district","PLA Army","No defensible current senior billet verified; public official profile is historical and the trail is stale since roughly 2019.","Senior colonel/major general status not reliably current","stale_or_unknown","not_mapped","observed_2026","1","recorded","1","historical official profile; no current billet through 2026-08-31","3","G10"
"PLA-2E29CEAE3804","Peng Jingtang","彭京堂","Joint theater command","Northern Theater Command","Likely Northern Theater deputy commander and possible acting military lead following a Hong Kong Garrison-to-PAP-to-theater sequence; not formally announced.","Lieutenant general (visual/reported)","acting_role_mixture","official_mapped","observed_2026","3","not_public","0","2026-04-08 protocol/uniform observation","6",""
"PLA-473FB74C16B7","Peng Tao","彭涛","PLA Navy / Marines","PLA Navy / Marines","President, PLA Naval University of Engineering","","formal_current","official_mapped","observed_2026","3","not_public","0","2026-02-25","2",""
"PLA-4E4CF2DE3AA5","Qiao Xiangji","乔相记","Joint theater command","Southern Theater Command","Southern Theater deputy commander and TCAF commander","lieutenant general","stale_or_unknown","not_mapped","pre_2025","0","recorded","0","2023-08","3",""
"PLA-0989332DD971","Rao Qi","饶崎","PLA Army / military district","PLA Army","76th Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-BC6028E241ED","Shao Shan","邵山","Military education / research","Air Force Aviation University","Political commissar, Air Force Aviation University","","official_title_with_scope_caveat","official_mapped","observed_2025","1","not_public","0","2025-09-19","1",""
"PLA-7464689B2559","Shao Shuguang","邵曙光","PLA Navy / Marines","PLA Navy / Marines","President/commandant, Dalian Naval Academy","Rear Admiral (major-general grade)","formal_current","official_mapped","observed_2025","5","recorded","0","2025-09-17","4",""
"PLA-9B3D5B74D35C","Shi Honggan","史洪干","PLA Air Force","PLA Air Force","assessed PLAAF DIC secretary/SC director; appears to perform senior political work","lieutenant general","acting_role_mixture","mapped_nonprimary","not_established","1","not_public","0","unknown","4",""
"PLA-ADEF1197CAC0","Shi Zhibin","石志斌","PLA Navy / Marines","PLA Navy / Marines","political commissar of aircraft carrier Fujian","Senior Captain","formal_current","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-52BB3E27B830","Sun Baosong","孙宝嵩","PLA Navy / Marines","PLA Navy / Marines","last confirmed carrier-flight test/training base commander and instructor","","stale_or_unknown","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-DB1EB254F56A","Sun Xiangdong","孙向东","Joint theater command","Central Theater Command","Central Theater deputy commander","lieutenant general","inferred_current","not_mapped","pre_2025","1","recorded","0","assessed since 2024-03; roster accessed 2026-08-31","3",""
"PLA-24F9B94B44D2","Tan Hailin","谭海林","PLA Army / military district","Northern Theater Army","Northern Theater Army acting commander in September 2025 and likely commander by June 2026; no longer 83rd Group Army commander.","Major general publicly reported; billet is normally deputy-theater grade and rank regularization is unconfirmed","acting_role_mixture","not_mapped","observed_2026","4","not_public","0","2026-06 exercise attribution","8",""
"PLA-716E32CF49E2","Tian Xiaowei","田晓蔚","Joint Logistics","Joint Logistic Support Force","Confirmed transferred out of the Sichuan Military District by 9 January 2026; destination not disclosed. JLSF political-commissar reporting competes with a Wang Jingtian handler hypothesis and remains unconfirmed.","Major general (last official rank found, January 2025); later lieutenant-general reporting unconfirmed","conflicting_current","not_mapped","observed_2026","3","recorded","2","2026-01-09","6","G03|G09"
"PLA-F6A320D79E69","Tian Yuefeng","田跃峰","Military education / research","National University of Defense Technology","Deputy political commissar and discipline-inspection secretary, National University of Defense Technology","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-08-30","1",""
"PLA-0EB13F055076","Wang Chao","王超","Joint theater command","Eastern Theater Command","Senior engineer in an Eastern Theater unit, confirmed July 2025","rank and administrative grade not publicly stated","legacy_unverified","not_mapped","not_established","0","recorded","0","unknown","1",""
"PLA-3B5AB5758D3E","Wang Chengnan","王成男","CMC / central joint","CMC / central joint","Deputy secretary, CMC Discipline Inspection Commission","Lieutenant General","legacy_unverified","not_mapped","not_established","0","recorded","0","unknown","2",""
"PLA-094E667C71A0","Wang Gang","王刚","PLA Air Force","PLA Air Force","PLAAF commander","general","formal_current","official_mapped","observed_2026","3","recorded","0","2026-07-03","5",""
"PLA-F323DE5E34EB","Wang Hongbin","王洪斌","People's Armed Police","People's Armed Police","Reported PAP deputy political commissar and PWD director; appears to handle political work after Zhang Hongbing's removal. No formal PAP PC appointment located.","Lieutenant General","acting_role_mixture","not_mapped","observed_2025","1","not_public","0","2025-12 to 2026-03","6",""
"PLA-7C64F74AD9D5","Wang Hongli","王红理","PLA Navy / Marines","PLA Navy / Marines","PLAN Equipment Department director and late-2025 NPSC member","","inferred_current","not_mapped","not_established","0","not_public","0","unknown","4",""
"PLA-32F6DA4E7BFA","Wang Hongxun","王洪勋","Joint theater command","Central Theater Command","assessed Central Theater deputy commander","lieutenant general","inferred_current","not_mapped","pre_2025","1","recorded","0","2022-05-11 official; later role assessed 2024-25","3",""
"PLA-DE6AB2DC08C6","Wang Jianwu","王建武","Aerospace / cyberspace / information","Information Support Force","Reported officer handling Information Support Force military work","Major General (reported)","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-DB8D9ACAA4D1","Wang Suocheng","王锁成","PLA Army / military district","PLA Army","77th Group Army commander","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-7A183A7A3CB9","Wang Tao","王涛","PLA Navy / Marines","PLA Navy / Marines","Fujian deputy captain","not stated in the official profile","formal_current","official_mapped","not_established","1","not_public","0","unknown","2",""
"PLA-5D25CB59AA51","Wang Tianlin","王天林","PLA Navy / Marines","PLA Navy / Marines","PLAN Logistics Department director and late-2025 NPSC member","","inferred_current","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-23D72D94C1D2","Wang Xiaoyong","王孝永","PLA Army / military district","PLA Army","82nd Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-C7B3B065888C","Wang Xinmin","王信民","PLA Army / military district","PLA Army","83rd Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-CC5B1A9F9877","Wang Zesen","王泽森","PLA Navy / Marines","PLA Navy / Marines","senior political commander of the Shandong carrier formation","Rear Admiral","official_title_with_scope_caveat","mapped_nonprimary","observed_2025","3","not_public","0","2025-07-03","3",""
"PLA-0AB6D51D0B8D","Wang Zhilong","王志龙","PLA Air Force","PLA Air Force Equipment Department","Director, PLA Air Force Equipment Department","","official_title_with_scope_caveat","official_mapped","observed_2025","1","not_public","0","2025-09-19","1",""
"PLA-643A158DC96B","Wei Chengkai","魏成凯","Military education / research","Air Force Engineering University","Vice president and education director, Air Force Engineering University","Colonel","official_title_with_scope_caveat","official_mapped","observed_2026","2","not_public","0","2026-01-08","1",""
"PLA-7E5E97D795FB","Wei Huixiao","韦慧晓","Institution unresolved","institution unresolved","decorated surface officer; exact current billet unreported","Senior Captain","stale_or_unknown","not_mapped","not_established","0","recorded","0","unknown","3",""
"PLA-91F6B428FCB0","Wei Wenbo","魏文波","PLA Army / military district","PLA Army","75th Group Army political commissar","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-E3B1477CCE9D","Wei Wenhui","魏文徽","Joint theater command","Southern Theater Command","Southern Theater Command deputy commander","","formal_current","official_mapped","observed_2026","4","recorded","1","2026-07-03","5","G08|G15"
"PLA-CE347B98F04E","Wen Dong","文东","PLA Army / military district","Xinjiang Military District","Likely Xinjiang Military District commander, replacing Liu Lin; official reports signal principal status without printing the title.","Lieutenant general (uniform/protocol observation)","inferred_current","not_mapped","observed_2026","3","recorded","0","2026-02-03 official Xinjiang meeting","6",""
"PLA-0F27B343F6BD","Wen Junfei","文俊飞","Joint theater command","Western Theater Command","Western Theater deputy commander","lieutenant general","formal_current","official_mapped","observed_2026","4","recorded","0","2026-02-13","6",""
"PLA-B49E6D58E6F6","Wu Aimin","吴爱民","PLA Army / military district","PLA Army","PLA Army deputy commander","lieutenant general; deputy-theater grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-50148812E57F","Wu Jianjun","吴建军","Military education / research","National University of Defense Technology","Vice president and education dean, National University of Defense Technology","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-08-30","1",""
"PLA-0960CA9BCA12","Wu Junbao","吴俊宝","Joint theater command","Eastern Theater Command","Eastern Theater deputy commander and TCAF commander","lieutenant general","formal_current","not_mapped","pre_2025","2","recorded","0","2023-08","4",""
"PLA-AA9B8203C09D","Wu Qian","吴谦","CMC / central joint","CMC / central joint","Reported defense attaché in Egypt since July 2025","Major general","legacy_unverified","official_mapped","not_established","1","recorded","0","unknown","2",""
"PLA-1761A00DE0C9","Wu Yanan","吴亚男","Joint theater command","Southern Theater Command","Commander, Southern Theater Command","","official_title_with_scope_caveat","official_mapped","observed_2025","1","not_public","0","2025-03-14","1",""
"PLA-EDDAAE1CF458","Wu Zhijun","伍治军","PLA Army / military district","PLA Army","74th Group Army political commissar (latest public roster; stale-risk)","major general; corps-leader grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-2B8F9CF122FA","Xia Zhihe","夏志和","Institution unresolved","institution unresolved","National Defense University political commissar","Vice Admiral","formal_current","official_mapped","not_established","1","not_public","0","unknown","3",""
"PLA-CA76826DFAAD","Xiao Fei","肖飞","PLA Navy / Marines","PLA Navy / Marines","senior integrated-electric-power/electromagnetic research leader; exact current office/grade unclear","","inferred_current","not_mapped","not_established","0","recorded","0","unknown","2",""
"PLA-88AE0B1E2261","Xiong Zhaoyuan","熊兆元","CMC / central joint","CMC / central joint","Deputy director, CMC Political Work Department","Lieutenant General","legacy_unverified","not_mapped","not_established","0","recorded","0","unknown","2",""
"PLA-88F388E2BA87","Xu Jiangang","徐建刚","PLA Army / military district","PLA Army","Reported 76th Group Army commander; no current primary titled appearance located.","Major general (promotion confirmed in 2019)","inferred_current","not_mapped","pre_2025","1","not_public","0","2019-12-10 promotion; current role mutable-roster only","4",""
"PLA-1DA7C83DA6C0","Xu Siqing","徐四清","PLA Navy / Marines","PLA Navy / Marines","Last publicly reported as Marine deputy political commissar and discipline chief","Rear Admiral","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-40B5F5867940","Xu Weijin","徐为进","CMC / central joint","CMC / central joint","Assessed director, CMC Science and Technology Commission","Lieutenant General","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-205D1652F5ED","Xu Ying","徐英","PLA Navy / Marines","PLA Navy / Marines","carrier aviator/ship-command track; exact current billet undisclosed","","stale_or_unknown","not_mapped","not_established","0","not_public","0","unknown","3",""
"PLA-1DFB35D3AC3A","Yang Liming","杨黎明","PLA Navy / Marines","PLA Navy / Marines","RADM and military commander of the Shandong carrier formation","Rear Admiral","official_title_with_scope_caveat","mapped_nonprimary","observed_2025","2","not_public","0","2025-07-03","2",""
"PLA-CFFD836085FB","Yang Zhibin","杨志斌","Joint theater command","Eastern Theater Command","Eastern Theater commander","general","formal_current","official_mapped","observed_2025","3","recorded","0","2025-12-22","6",""
"PLA-37897660E919","Yao Haizhong","姚海忠","PLA Army / military district","PLA Army","Army test-flight establishment leader/technical officer; current exact billet unverified","unknown","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
"PLA-FB5F52B1F8C4","Yin Wei","尹伟","PLA Air Force","PLA Air Force","assessed PLAAF chief of staff; officially deputy chief in September 2025","lieutenant general if chief assessment is right","inferred_current","official_mapped","observed_2025","1","not_public","0","2025-09-19 official; chief assessed 2026-04","5",""
"PLA-01A7096C3063","Yong Chenggang","雍成纲","Military education / research","National University of Defense Technology","Director, Education and Training Department, National University of Defense Technology","","official_title_with_scope_caveat","official_mapped","observed_2026","1","not_public","0","2026-08-30","1",""
"PLA-DDB32C6C4199","Yuan Honggang","袁红刚","PLA Army / military district","Xinjiang Military District","Reported transferred from Tibet Military District political commissar to Xinjiang Military District deputy political commissar by January 2026; the apparent downgrade is not yet confirmed by textual official appointment.","Lieutenant general in Tibet role; current rank/status uncertain","inferred_current","official_mapped","observed_2025","2","recorded","0","2025-01-17 official Tibet title; 2026-01 specialist reconstruction","6",""
"PLA-28D839C43711","Zhang Fan","张帆","CMC / central joint","CMC / central joint","CMC Discipline Inspection Commission deputy secretary","lieutenant general; deputy-theater grade","legacy_unverified","not_mapped","not_established","0","not_public","0","unknown","2",""
