"assessment_id","supplier","english_name","capability_family","node_id","lane","status","tier","criticality","frontier","cross_domain","evidence","maturity","importance","lower_bound","evidence_count","initial_rank","fragility","source_urls"
"CNSCA-F9D9FD0987","西安西测测试技术股份有限公司","Xi'an Xice Testing Technology Co. Ltd.","environmental_reliability_EMC_and_component_screening","N-RELIABILITY","production_enabler","verified_production_enabler","evidence_qualified","3","3","2","E3","U3","70","60","1","24","","https://static.cninfo.com.cn/finalpage/2026-04-28/1225217143.PDF"
"CNSCA-C250E60D20","广东熙瑞智能科技有限公司","Guangdong Xirui Intelligent Technology Co. Ltd.","robotic_grinding_and_shipyard_production_automation","N-SHIPYARD","production_enabler","verified_production_enabler","evidence_qualified","2","3","1","E4","U3","54","54","3","25","","https://www.kczg.org.cn/org/orgdetail?id=356793|https://csscbidding.com/jyxx/003001/003001004/20250825/fc564718-4800-43a3-b82a-02c5058139fe.html|https://csscbidding.com/jyxx/003001/003001004/20250825/5a186f89-8939-4634-9bdc-bb09d21cbcbb.html"
"CNSCA-9E272B7B85","北京星网宇达科技股份有限公司","Beijing StarNeto Technology Co. Ltd.","INS_EO_payloads_actuators_datalinks","N-INS","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","4","3","E3","U2","74","63","2","","","https://static.cninfo.com.cn/finalpage/2025-08-29/1224614260.PDF|https://static.cninfo.com.cn/finalpage/2025-04-28/1223316273.PDF"
"CNSCA-C315E730A4","北京富吉瑞光电科技股份有限公司","Beijing Fujirui Optoelectronic Technology Co. Ltd.","cooled_IR_detector_packaging_cryocoolers_and_pointing_actuators","N-IR-EO","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","4","2","E3","U2","69","59","1","","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260429/6adcaca9c5534d379766de8c85cd385d.PDF"
"CNSCA-2C00142CC5","成都智明达电子股份有限公司","Chengdu Zhimingda Electronics Co. Ltd.","rugged_embedded_compute_UAV_flight_and_CUAS","N-EMBEDDED","counter_UAS_integrator","bounded_supplier_assessment","bounded","3","4","2","E3","U2","69","59","1","","","https://static.cninfo.com.cn/finalpage/2026-03-26/1225031432.PDF"
"CNSCA-4C8F5E8482","深圳市科思科技股份有限公司","Shenzhen Consys Science and Technology Co. Ltd.","UAV_swarm_mesh_and_mission_computing","N-SWARM-MESH","unmanned_systems_enabler","bounded_supplier_assessment","bounded","3","4","2","E3","U2","69","59","1","","","https://static.cninfo.com.cn/finalpage/2025-04-25/1223284788.PDF"
"CNSCA-5179725983","湖北久之洋红外系统股份有限公司","Hubei Jiuzhiyang Infrared System Co. Ltd.","EO_IR_lasers_optics_and_star_trackers","N-IR-EO","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","4","2","E3","U2","69","59","1","","","https://static.cninfo.com.cn/finalpage/2026-03-27/1225037823.PDF"
"CNSCA-2C1763D53F","国科天成科技股份有限公司","Guoke Tiancheng Technology Co. Ltd.","cooled_and_uncooled_IR_detectors","N-IR-EO","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","4","2","E2","U4","79","55","1","","","https://static.cninfo.com.cn/finalpage/2025-05-13/1223535717.PDF"
"CNSCA-CE7C7723D4","长沙景嘉微电子股份有限公司","Changsha Jingjia Microelectronics Co. Ltd.","high_reliability_GPU_and_radar_signal_processing","N-EMBEDDED","production_enabler","bounded_supplier_assessment","bounded","3","4","2","E2","U4","79","55","1","","","https://static.cninfo.com.cn/finalpage/2025-04-24/1223239399.PDF"
"CNSCA-53BD0A7C17","中电科蓝天科技股份有限公司","CETC Blue Sky Technology Co. Ltd.","special_batteries_BMS_and_space_power","N-POWER","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","3","2","E3","U2","65","55","1","","","https://static.cninfo.com.cn/finalpage/2026-04-23/1225153647.PDF"
"CNSCA-22CBBC4638","上海瀚讯信息技术股份有限公司","Shanghai Hanxun Information Technology Co. Ltd.","private_4G_5G_self_organizing_anti_jam_comms","N-NETWORK","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","3","3","E2","U3","75","52","1","","","https://static.cninfo.com.cn/finalpage/2025-04-29/1223369122.PDF"
"CNSCA-726B30FF05","长春奥普光电技术股份有限公司","Changchun UP Optotech Co. Ltd.","low_light_EO_tracking_and_aiming","N-IR-EO","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","3","3","2","E2","U3","70","49","1","","","https://static.cninfo.com.cn/finalpage/2025-04-22/1223192767.PDF"
"CNSCA-7363F2F98A","北京新雷能科技股份有限公司","Beijing Xinleineng Technology Co. Ltd.","rad_hard_power_motor_drive_and_UAV_motors","N-SERVO","unmanned_systems_enabler","bounded_supplier_assessment","bounded","3","4","2","E2","U2","69","48","1","","","https://static.cninfo.com.cn/finalpage/2026-04-21/1225130175.PDF"
"CNSCA-E3A27AE0AB","西安天和防务技术股份有限公司","Xi'an Tianhe Defense Technology Co. Ltd.","RF_ferrites_and_circulators","N-RF-MICRO","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","2","3","2","E2","U4","64","45","1","","","https://static.cninfo.com.cn/finalpage/2025-04-25/1223271956.PDF"
"CNSCA-6016AB896F","湖南超能机器人技术有限公司","Hunan Chaoneng Robot Technology Co. Ltd.","unmanned_platforms_swarming_and_mission_integration","N-UNMANNED","unmanned_systems_enabler","provisional_watchlist","provisional","2","3","1","E3","U2","49","42","1","","","https://www.hunan.gov.cn/hnszf/hnyw/sy/hnyw1/202608/t20260831_34052912.html"
"CNSCA-D93423905C","杭州景业智能科技股份有限公司","Hangzhou Jingye Intelligent Technology Co. Ltd.","special_robots_and_quadruped_support","N-LEGGED","production_enabler","bounded_supplier_assessment","bounded","2","4","2","E2","U2","58","41","1","","","https://static.cninfo.com.cn/finalpage/2025-08-28/1224593800.PDF"
"CNSCA-97170E9F4F","西安爱科赛博电气股份有限公司","Xi'an Aike Cyber Electric Co. Ltd.","aircraft_power_converters","N-POWER","component_or_subsystem_supplier","bounded_supplier_assessment","bounded","2","4","2","E2","U2","58","41","1","","","https://static.cninfo.com.cn/finalpage/2026-04-22/1225138987.PDF"
"CNSCA-02C1E2FE32","芯联集成电路制造股份有限公司","SICC Co., Ltd.","MEMS_IMU_lidar_driver_and_MCU_foundry_platform","N-MEMS","component_or_subsystem_supplier","provisional_watchlist","provisional","1","3","1","E3","U4","48","41","1","","","https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260420/a7d644d0f0dd41678d6544801932ceac.PDF"
"CNSCA-15EC4C0A8B","中科空网（郑州）安全技术有限公司","Zhongke Kongwang Zhengzhou Security Technology Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","3","1","E2","U2","49","34","1","","","https://news.21csp.com.cn/special/2024blh/202410/11425149.html"
"CNSCA-8872A59052","北京博宏科元信息科技有限公司","Beijing Bohong Keyuan Information Technology Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","3","1","E2","U2","49","34","2","","","https://www.bhky.net.cn/|https://news.21csp.com.cn/special/2024blh/202410/11425149.html"
"CNSCA-C2FFDBE54E","杭州星辰大海科技有限公司","Hangzhou Xingchen Dahai Technology Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","3","1","E2","U2","49","34","2","","","https://www.career.zju.edu.cn/jyxt/sczp/zpztgl/ckZpgwList.zf?dwxxid=JG0000670|https://news.21csp.com.cn/special/2024blh/202410/11425149.html"
"CNSCA-1FF4B58E53","西安宇航者创新科技有限公司","Xi'an Yuhangzhe Innovation Technology Co. Ltd.","unmanned_platforms_swarming_and_mission_integration","N-UNMANNED","unmanned_systems_enabler","provisional_watchlist","provisional","2","2","1","E3","U1","40","34","2","","","https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2026/8a1d03e69cd1fb5c019cd6e59f9a252b.html|https://www.ccgp-shaanxi.gov.cn/freecms/site/shaanxi/ggxx/info/2024/8a69c037932429a3019324ab328a32fe.html"
"CNSCA-7B62A45AEF","中科空网（郑州）安全技术有限公司","Zhongke Kongwang Zhengzhou Security Technology Co. Ltd.","unmanned_platforms_swarming_and_mission_integration","N-UNMANNED","unmanned_systems_enabler","provisional_watchlist","provisional","2","3","1","E2","U1","44","31","1","","","https://www.zkkwgs.com/"
"CNSCA-11B1E004C9","北京卓翼智能科技有限公司","Beijing Zhuoyi Intelligent Technology Co. Ltd.","unmanned_platforms_swarming_and_mission_integration","N-UNMANNED","unmanned_systems_enabler","provisional_watchlist","provisional","2","3","1","E2","U1","44","31","2","","","https://www.droneyee.com/|https://csscbidding.com/jyxx/003002/003002003/20250919/d89aff16-b40c-46c5-a6b0-78b05a3e9c36.html"
"CNSCA-7E9F65D75E","湖南超能机器人技术有限公司","Hunan Chaoneng Robot Technology Co. Ltd.","robotics_and_autonomy_integration","N-ROBOTICS-INT","production_enabler","provisional_watchlist","provisional","2","3","1","E2","U1","44","31","1","","","https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2026/8a1d02829e1f2e0a019e3f202afe5448.html"
"CNSCA-FD01C5C931","南京山峦安全技术有限公司","Nanjing Shanluan Security Technology Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","2","1","E2","U1","40","28","3","","","https://www.njslaq.com/tagdetail/1699655190063484928.html|https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2025/8a1d04b895320c5701964d64e62a7106.html|https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2024/8a1d01109163a9d001919d4348c336b8.html"
"CNSCA-E005343236","四川金朝电子工程有限公司","Sichuan Jinchao Electronic Engineering Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","2","1","E2","U1","40","28","1","","","https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2026/8a1d002c9afc0109019c50c1650c0a41.html"
"CNSCA-0A3F1DF560","山东中科长天科技有限公司","Shandong Zhongke Changtian Technology Co. Ltd.","unmanned_platforms_swarming_and_mission_integration","N-UNMANNED","unmanned_systems_enabler","provisional_watchlist","provisional","2","2","1","E2","U1","40","28","1","","","https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2025/8a1d04049afc00a8019b2154b45f4a58.html?noticeType=001024"
"CNSCA-FE1DDC7512","广东纳萨斯通信科技有限公司","Guangdong Nasis Communication Technology Co. Ltd.","counter_UAS_detection_EW_and_control","N-CUAS","counter_UAS_integrator","provisional_watchlist","provisional","2","2","1","E2","U1","40","28","3","","","https://www.donasas.com/|https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2026/8a1d002c9afc0109019c4fbf41ba041a.html|https://www.plap.mil.cn/freecms/site/juncai/ggxx/info/2026/8a1d03e69cd1fb5c019d0a2b42f932db.html"
